section name,section type,size
.text.ql_spi_flash_init_ext,text,192
.text.ql_spi_flash_enable_write,text,60
.rodata.CSWTCH.2,rodata,76
.text.ql_spi_nand_type_portable,text,4
.rodata.ql_spi_nand_read_status.str1.1,rodata,17
.text.ql_spi_nand_read_status,text,108
.rodata.ql_spi_nand_read_devid_ex.str1.1,rodata,18
.text.ql_spi_nand_read_devid_ex,text,176
.text.ql_spi_nand_write_status,text,104
.rodata.ql_spi_nand_operate.str1.1,rodata,48
.text.ql_spi_nand_operate,text,264
.text.ql_spi_nand_reset,text,40
.rodata.ql_spi_nand_init_ext.str1.1,rodata,47
.text.ql_spi_nand_init_ext,text,160
.text.ql_spi_nand_init,text,50
.text.ql_spi_nand_init_portable,text,6
.text.ql_spi_nand_erase_block,text,40
.rodata.ql_spi_nand_load_program_data_op.str1.1,rodata,15
.text.ql_spi_nand_load_program_data_op,text,176
.text.ql_spi_nand_load_program_data,text,22
.text.ql_spi_nand_program_excute,text,42
.rodata.ql_spi_nand_write_page_spare.str1.1,rodata,20
.text.ql_spi_nand_write_page_spare,text,100
.text.ql_spi_nand_write_spare,text,96
.text.ql_spi_nand_page_data_read,text,42
.text.ql_spi_nand_read_data,text,248
.rodata.ql_spi_nand_read_page_spare.str1.1,rodata,20
.text.ql_spi_nand_read_page_spare,text,108
.text.ql_spi_nand_read_devid,text,6
.rodata.ql_spi_nor_wait_write_finish.str1.1,rodata,16
.text.ql_spi_nor_wait_write_finish,text,124
.rodata.ql_spi_nor_init_ext.str1.1,rodata,146
.text.ql_spi_nor_init_ext,text,504
.text.ql_spi_nor_init,text,50
.text.ql_spi_nor_enable_write,text,24
.rodata.ql_spi_nor_write_16bit_status.str1.1,rodata,67
.text.ql_spi_nor_write_16bit_status,text,232
.text.ql_spi_nor_write_8bit_status,text,216
.text.ql_spi_nor_read_status_low,text,58
.text.ql_spi_nor_read_status_high,text,136
.text.ql_spi_nor_erase_chip,text,116
.text.ql_spi_nor_read_capacity,text,28
.text.ql_spi_nor_get_addr_mode,text,82
.rodata.ql_spi_nor_read.str1.1,rodata,19
.text.ql_spi_nor_read,text,92
.rodata.ql_spi_nor_page_write.str1.1,rodata,19
.text.ql_spi_nor_page_write,text,276
.text.ql_spi_nor_write,text,232
.text.ql_spi_nor_erase_sector,text,136
.text.ql_spi_nor_erase_64k_block,text,136
.text.quec_port_get_rx_thread,text,96
.rodata.quec_uart_try_lock.str1.1,rodata,34
.text.quec_uart_try_lock,text,100
.rodata.quec_uart_unlock.str1.1,rodata,29
.text.quec_uart_unlock,text,84
.text.quec_get_uart_cb,text,44
.rodata.ql_usrl1_rx_msg_process.str1.1,rodata,45
.text.ql_usrl1_rx_msg_process,text,164
.text.ql_usrl_modem_rx_msg_process,text,164
.text.ql_usrl_at_rx_msg_process,text,164
.text.ql_uart6_rx_msg_process,text,164
.text.ql_uart5_rx_msg_process,text,164
.text.ql_uart4_rx_msg_process,text,164
.text.ql_uart3_rx_msg_process,text,164
.text.ql_uart2_rx_msg_process,text,164
.text.ql_uart1_rx_msg_process,text,164
.rodata.quec_dev_add_device.str1.1,rodata,18
.text.quec_dev_add_device,text,88
.rodata.quec_dev_add_dispatch.str1.1,rodata,48
.text.quec_dev_add_dispatch,text,120
.text.quec_set_uart_status.part.0,text,40
.rodata.quec_dev_create_mutex.str1.1,rodata,30
.text.quec_dev_create_mutex,text,64
.text.quec_get_dev_by_drv_name,text,28
.rodata._usrl_work_notify.str1.1,rodata,75
.text._usrl_work_notify,text,176
.text._uart_work_notify,text,180
.text.quec_get_device_by_dev,text,80
.text.quec_dev_delete_dispatch,text,72
.text.quec_get_dispatch_by_dev,text,68
.rodata.quec_dispatch_is_valid.str1.1,rodata,26
.text.quec_dispatch_is_valid,text,52
.text.quec_get_uart_status,text,44
.text.quec_uart_is_allow_create,text,26
.text.quec_at_device_create_success,text,48
.rodata.quec_write_to_at_dev.str1.1,rodata,21
.text.quec_write_to_at_dev,text,88
.text.ql_uart_set_sleep_delay_time,text,24
.text.ql_uart_get_sleep_delay_time,text,24
.text.ql_uart_set_event_mask,text,24
.rodata.ql_uart_set_dcbconfig.str1.1,rodata,73
.text.ql_uart_set_dcbconfig,text,180
.text.ql_uart_get_dcbconfig,text,64
.rodata.ql_uart_write.str1.1,rodata,22
.text.ql_uart_write,text,136
.text.ql_uart_read,text,116
.text.ql_uart_register_cb,text,60
.text.ql_uart_close,text,132
.rodata.ql_uart_open.str1.1,rodata,175
.text.ql_uart_open,text,744
.rodata.ql_uart_get_tx_fifo_status.str1.1,rodata,75
.text.ql_uart_get_tx_fifo_status,text,136
.rodata.ql_uart_tx_wait_complete.str1.1,rodata,83
.text.ql_uart_tx_wait_complete,text,144
.text.quec_get_sim_by_dispatch,text,60
.text.ql_uart_init,text,66
.rodata.autobaud_list,rodata,44
.rodata.baud_list,rodata,80
.rodata.cbaud_list,rodata,76
.rodata.ql_dev_name,rodata,88
.rodata.ql_usb_set_detmode.str1.1,rodata,32
.text.ql_usb_set_detmode,text,104
.text.ql_usb_get_detmode,text,52
.rodata.ql_usb_set_config_nvm.str1.1,rodata,132
.text.ql_usb_set_config_nvm,text,212
.text.ql_usb_get_config_nvm,text,76
.rodata.ql_usb_config_nvm_init.str1.1,rodata,24
.text.ql_usb_config_nvm_init,text,64
.text.ql_usb_set_enum_mode,text,72
.text.ql_usb_get_enum_mode,text,32
.text.ql_usb_hotplug_init,text,20
.text.ql_usb_get_hotplug_state,text,22
.text.prvUsbHotplugNotify,text,28
.text.ql_usb_bind_hotplug_cb,text,12
.rodata.ql_set_usb_detect_max_time.str1.1,rodata,62
.text.ql_set_usb_detect_max_time,text,96
.text.ql_get_usb_detect_max_time,text,16
.rodata.ql_virat_is_aviable.str1.1,rodata,51
.text.ql_virat_is_aviable,text,72
.rodata.ql_virt_at_tx_pipe_callback.str1.1,rodata,54
.text.ql_virt_at_tx_pipe_callback,text,176
.text.ql_virt_at_rx_pipe_callback,text,60
.rodata.quec_virat_operate_pipe.str1.1,rodata,88
.text.quec_virat_operate_pipe,text,260
.text.ql_virt_at_read_aviable,text,76
.text.ql_virt_at_write_aviable,text,116
.text.ql_virt_at_read,text,20
.text.ql_virt_at_write,text,20
.rodata.ql_virt_at_close.str1.1,rodata,31
.text.ql_virt_at_close,text,176
.rodata.ql_virt_at_open.str1.1,rodata,32
.text.ql_virt_at_open,text,308
.text.ql_virt_get_dispatch,text,80
.text.ql_wifi_ap_info_compare,text,12
.rodata.ql_wifiscan_state_handle.str1.1,rodata,84
.text.ql_wifiscan_state_handle,text,212
.rodata.ql_wifiscan_result_callback_handle.str1.1,rodata,52
.text.ql_wifiscan_result_callback_handle,text,392
.text.ql_wifiscan_send_event,text,36
.rodata.quec_retry_scan_wifi_timeout.str1.1,rodata,43
.text.quec_retry_scan_wifi_timeout,text,108
.rodata.quec_scan_wifi_timeout.str1.1,rodata,24
.text.quec_scan_wifi_timeout,text,60
.rodata.ql_wifiscan_open.str1.1,rodata,52
.text.ql_wifiscan_open,text,108
.rodata.ql_wifiscan_close.str1.1,rodata,22
.text.ql_wifiscan_close,text,112
.rodata.quec_retry_scan_wifi_handle.str1.1,rodata,22
.text.quec_retry_scan_wifi_handle,text,80
.rodata.ql_wifiscan_result_callback.str1.1,rodata,229
.text.ql_wifiscan_result_callback,text,864
.rodata.ql_scan_wifi_ap.str1.1,rodata,85
.text.ql_scan_wifi_ap,text,424
.rodata.ql_wifiscan_thread.str1.1,rodata,100
.text.ql_wifiscan_thread,text,380
.rodata.ql_wifiscan_do.str1.1,rodata,34
.text.ql_wifiscan_do,text,364
.rodata.ql_wifiscan_option_set_ex.str1.1,rodata,45
.text.ql_wifiscan_option_set_ex,text,276
.text.ql_wifiscan_option_set,text,54
.rodata.ql_wifiscan_async.str1.1,rodata,42
.text.ql_wifiscan_async,text,268
.rodata.ql_wifiscan_register_cb.str1.1,rodata,22
.text.ql_wifiscan_register_cb,text,144
.rodata.ql_wifiscan_task_init.str1.1,rodata,67
.text.ql_wifiscan_task_init,text,160
.text.quec_ssl_ctx_int,text,64
.text.quec_ssl_ctx_set_sni,text,44
.text.quec_ssl_ctx_set_version,text,44
.text.quec_ssl_ctx_set_transport,text,44
.text.quec_ssl_ctx_set_ciphersuites,text,44
.text.quec_ssl_ctx_set_verify_mode,text,44
.text.quec_ssl_ctx_set_ca_chain,text,40
.text.quec_ssl_ctx_set_ca_chain_buffer,text,40
.text.quec_ssl_ctx_set_own_cert,text,44
.text.quec_ssl_ctx_set_own_cert_buffer,text,44
.text.quec_ssl_ctx_set_negotiation_timeout,text,44
.text.quec_ssl_ctx_set_negotiation_timeout_cb,text,40
.text.quec_ssl_ctx_set_ignore_expire,text,44
.text.quec_ssl_ctx_set_ignore_invalid_certsign,text,44
.text.quec_ssl_ctx_set_ignore_certitem,text,44
.text.quec_ssl_ctx_set_ignore_multi_certchain_verify,text,44
.text.quec_ssl_ctx_get_sni,text,44
.text.quec_ssl_ctx_get_version,text,44
.text.quec_ssl_ctx_get_verify_mode,text,44
.text.quec_ssl_ctx_get_ca_chain,text,40
.text.quec_ssl_ctx_get_own_cert,text,44
.text.quec_ssl_ctx_get_negotiation_timeout,text,44
.text.quec_ssl_ctx_get_ignore_expire,text,44
.text.quec_ssl_ctx_get_ignore_invalid_certsign,text,44
.text.quec_ssl_ctx_get_ignore_certitem,text,44
.text.quec_ssl_ctx_get_ignore_multi_certchain_verify,text,44
.text.quec_ssl_close,text,28
.text.quec_ssl_free,text,28
.text.quec_ssl_open,text,76
.text.quec_ssl_set_socket_hndl,text,38
.text.quec_ssl_set_hostname,text,28
.text.quec_ssl_connect,text,28
.text.quec_ssl_write,text,28
.text.quec_ssl_read,text,28
.text.quec_ssl_cfg_get_by_id,text,24
.text.quec_at_app_init,text,2
.text.quec_at_app_event_proc,text,6
.text.quec_cfunSimCloseRsp,text,10
.text.quec_cfunSetCommRspTimeOutCB,text,28
.rodata.quec_cfun_enable_comm.str1.1,rodata,89
.text.quec_cfun_enable_comm,text,264
.rodata.quec_cfun_on_ev_cfw_init_ind.str1.1,rodata,34
.text.quec_cfun_on_ev_cfw_init_ind,text,112
.text.quec_psm_auto_sleep_delay_save_callback,text,10
.text.quec_cfun_notify_sim_detect,text,72
.text.quec_cfunSetCommRsp,text,72
.rodata.quec_notify_sim_detect_timeout_cb.str1.1,rodata,28
.text.quec_notify_sim_detect_timeout_cb,text,80
.rodata.quec_read_qsvn.str1.1,rodata,65
.text.quec_read_qsvn,text,116
.rodata.quec_write_qsvn.str1.1,rodata,73
.text.quec_write_qsvn,text,260
.rodata.quec_at_setting_save.str1.1,rodata,68
.text.quec_at_setting_save,text,60
.rodata.quec_uart_setting_save.str1.1,rodata,24
.text.quec_uart_setting_save,text,60
.rodata.quec_uart_setting_read.str1.1,rodata,66
.text.quec_uart_setting_read,text,88
.rodata.quec_at_setting_read.str1.1,rodata,29
.text.quec_at_setting_read,text,56
.rodata.quec_usb_setting_save.str1.1,rodata,46
.text.quec_usb_setting_save,text,112
.rodata.quec_usb_setting_read.str1.1,rodata,30
.text.quec_usb_setting_read,text,60
.rodata.quec_wdt_cfg_read.str1.1,rodata,74
.text.quec_wdt_cfg_read,text,72
.text.quec_wdt_cfg_save,text,36
.text.quec_at_setting_reset_default,text,28
.rodata.quec_exec_qpowd_cmd.str1.1,rodata,14
.text.quec_exec_qpowd_cmd,text,160
.rodata.quec_exec_qreset_cmd.str1.1,rodata,39
.text.quec_exec_qreset_cmd,text,112
.text.ql_download_handler,text,76
.text.atCmdHandleCGMI,text,56
.text.atCmdHandleGMI,text,4
.text.atCmdHandleCGMM,text,56
.text.atCmdHandleGMM,text,4
.text.atCmdHandleCGMR,text,56
.text.atCmdHandleGMR,text,8
.rodata.atCmdHandleCGSN.str1.1,rodata,35
.text.atCmdHandleCGSN,text,328
.text.atCmdHandleGSN,text,4
.rodata.quec_get_3gpp_release_version.str1.1,rodata,17
.text.quec_get_3gpp_release_version,text,56
.text.quec_set_3gpp_release_version,text,58
.text.utiImeiIsValidate,text,42
.text.utiAddImeiCheckSum,text,98
.rodata.atCmdHandleEGMR.str1.1,rodata,419
.text.atCmdHandleEGMR,text,988
.rodata.atCmdHandleCFUN.str1.1,rodata,88
.text.atCmdHandleCFUN,text,668
.text.quec_exec_qgsn_cmd,text,4
.rodata.quec_exec_cversion_cmd.str1.1,rodata,23
.text.quec_exec_cversion_cmd,text,148
.rodata.quec_exec_qrdy_cmd.str1.1,rodata,12
.text.quec_exec_qrdy_cmd,text,76
.rodata.quec_init_set_status_bit.str1.1,rodata,11
.text.quec_init_set_status_bit,text,60
.rodata.quec_init_get_status_bit.str1.1,rodata,12
.rodata.atCmdHandleI.str1.1,rodata,21
.text.atCmdHandleI,text,88
.rodata.quec_exec_csub_cmd.str1.1,rodata,15
.text.quec_exec_csub_cmd,text,56
.rodata.quec_exec_qgmr_cmd.str1.1,rodata,8
.text.quec_exec_qgmr_cmd,text,104
.text.quec_exec_qinf_cmd,text,44
.rodata.quec_exec_qprod_cmd.str1.1,rodata,24
.text.quec_exec_qprod_cmd,text,140
.rodata.quec_exec_qwsetmac_cmd.str1.1,rodata,90
.text.quec_exec_qwsetmac_cmd,text,324
.text.quectel_read_urc_ind_flag,text,4
.rodata.quec_at_config_init_from_nv.str1.1,rodata,50
.text.quec_at_config_init_from_nv,text,156
.rodata.quec_exec_ats24_cmd.str1.1,rodata,11
.text.quec_exec_ats24_cmd,text,152
.rodata.quec_exec_qsclk_cmd.str1.1,rodata,104
.text.quec_exec_qsclk_cmd,text,648
.rodata.quec_exec_qsclkex_cmd.str1.1,rodata,61
.text.quec_exec_qsclkex_cmd,text,412
.text.atCmdHandleAndC,text,92
.text.quec_get_config,text,96
.rodata.atCmdHandleAndV.str1.1,rodata,9
.text.atCmdHandleAndV,text,152
.rodata.quec_exec_qcustnvm_cmd.str1.1,rodata,45
.text.quec_exec_qcustnvm_cmd,text,244
.rodata.quec_exec_qfaccustnvm_cmd.str1.1,rodata,44
.text.quec_exec_qfaccustnvm_cmd,text,620
.text.quec_exec_at_start_app,text,34
.text.quec_convert_string_to_hex,text,120
.rodata.quec_exec_ebtaddr_cmd.str1.1,rodata,145
.text.quec_exec_ebtaddr_cmd,text,348
.rodata.quec_exec_qtemp_cmd.str1.1,rodata,18
.text.quec_exec_qtemp_cmd,text,108
.rodata.at_qsvn_cmd_func.str1.1,rodata,28
.text.at_qsvn_cmd_func,text,200
.rodata.quec_exec_questat_cmd.str1.1,rodata,16
.text.quec_exec_questat_cmd,text,152
.rodata.quectel_exec_adc_cmd.str1.1,rodata,41
.text.quectel_exec_adc_cmd,text,184
.rodata.quec_exec_authcode_cmd.str1.1,rodata,54
.text.quec_exec_authcode_cmd,text,328
.rodata.mob_model_id,rodata,7
.rodata.mob_sw_qinfrev,rodata,4
.rodata.mob_sw_subrev,rodata,4
.rodata.mob_usb_manufacturer,rodata,8
.rodata.mob_usb_product,rodata,12
.rodata.quec_exec_qgpior_cmd.str1.1,rodata,28
.text.quec_exec_qgpior_cmd,text,152
.rodata.quec_exec_qgpiow_cmd.str1.1,rodata,24
.text.quec_exec_qgpiow_cmd,text,148
.rodata.quec_exec_qgpios_cmd.str1.1,rodata,62
.text.quec_exec_qgpios_cmd,text,320
.rodata.quec_exec_qpins_cmd.str1.1,rodata,35
.text.quec_exec_qpins_cmd,text,200
.rodata.quec_exec_qgpiocfg_cmd.str1.1,rodata,69
.text.quec_exec_qgpiocfg_cmd,text,416
.text._lteRsrpCompare,text,22
.rodata.qnwinfo_RspCB.str1.1,rodata,147
.text.qnwinfo_RspCB,text,516
.text.quec_get_qrftest_labels_check,text,100
.text.quec_gdcnt_autosave_callback,text,10
.text._qopsAllRspTimeOutCB,text,28
.rodata.quec_exec_qnwlock_common_lte_cmd.str1.1,rodata,70
.text.quec_exec_qnwlock_common_lte_cmd,text,512
.rodata._lteLockSetCommRsp.str1.1,rodata,17
.text._lteLockSetCommRsp,text,140
.text._ltePlmnCompare,text,110
.text._qopsRelease.isra.0,text,44
.text._lteLockSetCommEnableRsp,text,18
.rodata.quec_exec_qnwinfo_cmd.str1.1,rodata,121
.text.quec_exec_qnwinfo_cmd,text,448
.rodata.quec_qeng_get_currrent_state.str1.1,rodata,14
.text.quec_qeng_get_currrent_state,text,40
.rodata.quec_emod_qeng_process_gsm_data.str1.1,rodata,313
.text.quec_emod_qeng_process_gsm_data,text,868
.text.quec_rsrp_range_legalized,text,20
.text.quec_rsrq_range_legalized,text,20
.rodata.quec_qcellinfo_process_data.str1.1,rodata,336
.text.quec_qcellinfo_process_data,text,1776
.rodata.QuecCell_RespCacheData.str1.1,rodata,237
.text.QuecCell_RespCacheData,text,1248
.rodata.QuecCell_Update.str1.1,rodata,15
.text.QuecCell_Update,text,312
.rodata.QuecCell_RspCB.str1.1,rodata,83
.text.QuecCell_RspCB,text,1136
.rodata.QuecCell_ServingTimerCB.str1.1,rodata,35
.text.QuecCell_ServingTimerCB,text,276
.text.QuecCell_NeighborTimerCB,text,224
.text.QuecCell_TimerDeinit,text,44
.rodata.QuecCell_TimerInit.str1.1,rodata,49
.text.QuecCell_TimerInit,text,156
.rodata.quec_exec_qeng_cmd.str1.1,rodata,95
.text.quec_exec_qeng_cmd,text,288
.text.quec_qcell_handler,text,120
.rodata.quec_qcellex_handler.str1.1,rodata,7
.text.quec_qcellex_handler,text,324
.rodata.quec_exec_qcellinfo_cmd.str1.1,rodata,93
.text.quec_exec_qcellinfo_cmd,text,936
.rodata.quec_exec_qcsq_cmd.str1.1,rodata,126
.text.quec_exec_qcsq_cmd,text,520
.rodata.quec_exec_qlts_cmd.str1.1,rodata,85
.text.quec_exec_qlts_cmd,text,348
.rodata.quec_exec_qgdcnt_cmd.str1.1,rodata,34
.text.quec_exec_qgdcnt_cmd,text,240
.text.quec_qgdcnt_auto_timer_start,text,96
.rodata.quec_exec_qaugdcnt_cmd.str1.1,rodata,39
.text.quec_exec_qaugdcnt_cmd,text,196
.rodata.quec_exec_qdftpdn_cmd.str1.1,rodata,44
.text.quec_exec_qdftpdn_cmd,text,460
.rodata.quec_exec_qpdptimer_cmd.str1.1,rodata,64
.text.quec_exec_qpdptimer_cmd,text,400
.rodata.quec_deal_nw_gprs_status_ind.str1.1,rodata,21
.text.quec_deal_nw_gprs_status_ind,text,116
.text.quec_deal_nw_signal_quality_ind,text,2
.text.quec_deal_ratchg_ind,text,2
.text.quec_deal_qcsq_ind,text,2
.rodata.quec_exec_qrftestmode_cmd.str1.1,rodata,37
.text.quec_exec_qrftestmode_cmd,text,288
.rodata.quec_exec_qrxftm_cmd.str1.1,rodata,93
.text.quec_exec_qrxftm_cmd,text,548
.rodata.quec_exec_qrftest_cmd.str1.1,rodata,65
.text.quec_exec_qrftest_cmd,text,568
.text.quec_exec_qnwlock_cmd,text,12
.rodata.quec_exec_qlocrel_cmd.str1.1,rodata,42
.text.quec_exec_qlocrel_cmd,text,292
.rodata.quec_exec_qblackcell_cmd.str1.1,rodata,77
.text.quec_exec_qblackcell_cmd,text,1064
.rodata.quec_exec_qblackcellcfg_cmd.str1.1,rodata,50
.text.quec_exec_qblackcellcfg_cmd,text,332
.rodata.quec_get_pwr_backoff_labels_type.str1.1,rodata,30
.text.quec_get_pwr_backoff_labels_type,text,96
.rodata.quec_exec_qpwrbackoff_cmd.str1.1,rodata,16
.text.quec_exec_qpwrbackoff_cmd,text,536
.rodata.quec_freq_scan_print.str1.1,rodata,138
.text.quec_freq_scan_print,text,1032
.rodata._qopsAllGetFreqScanRsp.str1.1,rodata,90
.text._qopsAllGetFreqScanRsp,text,288
.rodata.quec_exec_qops_cmd.str1.1,rodata,74
.text.quec_exec_qops_cmd,text,216
.rodata.quectel_exec_qcfg_nw_parameter_calib_cmd.str1.1,rodata,31
.text.quectel_exec_qcfg_nw_parameter_calib_cmd,text,180
.rodata.quectel_exec_qcfg_qcsq_negative_rssi_cmd.str1.1,rodata,33
.text.quectel_exec_qcfg_qcsq_negative_rssi_cmd,text,140
.rodata.quectel_exec_qcfg_pdp_retrytimes_cmd.str1.1,rodata,29
.text.quectel_exec_qcfg_pdp_retrytimes_cmd,text,148
.rodata.quectel_exec_qcfg_qoos_cmd.str1.1,rodata,151
.text.quectel_exec_qcfg_qoos_cmd,text,468
.rodata.quectel_exec_qcfg_qcellinfo_fmt_cmd.str1.1,rodata,78
.text.quectel_exec_qcfg_qcellinfo_fmt_cmd,text,180
.rodata.quectel_exec_qcfg_creg_emergency_cmd.str1.1,rodata,85
.text.quectel_exec_qcfg_creg_emergency_cmd,text,176
.rodata.quectel_exec_qcfg_dftpdn_cmd.str1.1,rodata,153
.text.quectel_exec_qcfg_dftpdn_cmd,text,676
.rodata.quectel_exec_qcfg_nat_cid_cmd.str1.1,rodata,23
.text.quectel_exec_qcfg_nat_cid_cmd,text,180
.rodata.quectel_exec_qcfg_led_sim_cmd.str1.1,rodata,20
.text.quectel_exec_qcfg_led_sim_cmd,text,196
.rodata.quectel_exec_rtc_cfg_cmd.str1.1,rodata,29
.text.quectel_exec_rtc_cfg_cmd,text,268
.rodata.quectel_exec_qcfg_psmwakeup_pin_cmd.str1.1,rodata,33
.text.quectel_exec_qcfg_psmwakeup_pin_cmd,text,232
.rodata.quectel_exec_qcfg_pwrsweep_cmd.str1.1,rodata,21
.text.quectel_exec_qcfg_pwrsweep_cmd,text,176
.rodata.quectel_exec_qcfg_3gpprel_cmd.str1.1,rodata,22
.text.quectel_exec_qcfg_3gpprel_cmd,text,200
.rodata.quectel_exec_qcfg_esmfail_times_cmd.str1.1,rodata,28
.text.quectel_exec_qcfg_esmfail_times_cmd,text,172
.rodata.quec_band_setCommRsp.str1.1,rodata,40
.text.quec_band_setCommRsp,text,172
.rodata.nwscanmodeSetCommRsp.str1.1,rodata,57
.text.nwscanmodeSetCommRsp,text,172
.rodata.quectel_exec_qcfg_nwscanmode_cmd.str1.1,rodata,114
.text.quectel_exec_qcfg_nwscanmode_cmd,text,580
.rodata.quec_band_setCommEnableRsp.str1.1,rodata,26
.text.quec_band_setCommEnableRsp,text,68
.rodata.quectel_exec_qcfg_pdn_pco_cmd.str1.1,rodata,20
.text.quectel_exec_qcfg_pdn_pco_cmd,text,164
.rodata.nwscanmodeSetCommEnableRsp.str1.1,rodata,33
.text.nwscanmodeSetCommEnableRsp,text,68
.text.quec_map_Rdaband2Quecband,text,252
.rodata.quec_map_Quecband2Rdaband.str1.1,rodata,58
.text.quec_map_Quecband2Rdaband,text,376
.rodata.quectel_exec_qcfg_band_cmd.str1.1,rodata,429
.text.quectel_exec_qcfg_band_cmd,text,1656
.rodata.quec_creg_emergency_read.str1.1,rodata,33
.text.quec_creg_emergency_read,text,64
.rodata.quec_read_qcellinfo_fmt_from_nv.str1.1,rodata,34
.text.quec_read_qcellinfo_fmt_from_nv,text,64
.text.quec_cfg_common_handler,text,184
.text.quec_exec_qcfg_cmd,text,12
.rodata.quectel_exec_qdbgcfg_tracecfg_cmd.str1.1,rodata,127
.text.quectel_exec_qdbgcfg_tracecfg_cmd,text,400
.rodata.quectel_exec_qdbgcfg_flash_cmd.str1.1,rodata,29
.text.quectel_exec_qdbgcfg_flash_cmd,text,252
.rodata.quectel_exec_qdbgcfg_exflash_cmd.str1.1,rodata,25
.text.quectel_exec_qdbgcfg_exflash_cmd,text,252
.rodata.quectel_exec_qdbgcfg_dumpcfg_cmd.str1.1,rodata,23
.text.quectel_exec_qdbgcfg_dumpcfg_cmd,text,192
.rodata.quectel_exec_qdbgcfg_syswdt_cmd.str1.1,rodata,22
.text.quectel_exec_qdbgcfg_syswdt_cmd,text,188
.rodata.quectel_exec_qdbgcfg_memory_cmd.str1.1,rodata,38
.text.quectel_exec_qdbgcfg_memory_cmd,text,124
.rodata.quectel_exec_qdbgcfg_oem_cmd.str1.1,rodata,147
.text.quectel_exec_qdbgcfg_oem_cmd,text,144
.rodata.quectel_exec_qdbgcfg_pcap_cmd.str1.1,rodata,22
.text.quectel_exec_qdbgcfg_pcap_cmd,text,220
.rodata.quec_modemnvm_dir_conv.str1.1,rodata,11
.text.quec_modemnvm_dir_conv,text,64
.rodata.quectel_exec_qdbgcfg_flst_cmd.str1.1,rodata,142
.text.quectel_exec_qdbgcfg_flst_cmd,text,416
.text.quec_qdbgcfg_free_async,text,18
.rodata.quectel_exec_qdbgcfg_format_fs_cmd.str1.1,rodata,2
.text.quectel_exec_qdbgcfg_format_fs_cmd,text,100
.rodata.quectel_exec_qdbgcfg_flash_blk_info_cmd.str1.1,rodata,35
.text.quectel_exec_qdbgcfg_flash_blk_info_cmd,text,304
.rodata.quectel_exec_qdbgcfg_qlogcfg_cmd.str1.1,rodata,25
.text.quectel_exec_qdbgcfg_qlogcfg_cmd,text,160
.rodata.quectel_exec_qdbgcfg_atcnt_cmd.str1.1,rodata,21
.text.quectel_exec_qdbgcfg_atcnt_cmd,text,132
.rodata.quec_exec_qftest_partitian_ctl_ec_cmd.str1.1,rodata,32
.text.quec_exec_qftest_partitian_ctl_ec_cmd,text,76
.rodata.quectel_exec_qdbgcfg_flashpartition_cmd.str1.1,rodata,139
.text.quectel_exec_qdbgcfg_flashpartition_cmd,text,140
.rodata.quectel_exec_qdbgcfg_system_abort_cmd.str1.1,rodata,26
.text.quectel_exec_qdbgcfg_system_abort_cmd,text,76
.rodata.quectel_exec_qdbgcfg_fssize_get_cmd.str1.1,rodata,48
.text.quectel_exec_qdbgcfg_fssize_get_cmd,text,228
.rodata.quectel_exec_qdbgcfg_flowwdt_cmd.str1.1,rodata,23
.text.quectel_exec_qdbgcfg_flowwdt_cmd,text,124
.rodata.quectel_exec_qdbgcfg_cgbv_cmd.str1.1,rodata,64
.text.quectel_exec_qdbgcfg_cgbv_cmd,text,324
.rodata.quec_cp_device_read.str1.1,rodata,105
.text.quec_cp_device_read,text,216
.rodata.quec_rmdir_ex.str1.1,rodata,17
.text.quec_rmdir_ex,text,204
.text.quectel_exec_qdbgcfg_fdel_cmd,text,140
.text.quec_flash_erase_count_update,text,120
.text.quec_exec_qftest_cmd,text,12
.text.quec_extflash_erase_count_update,text,80
.text.quec_exec_qdbgcfg_cmd,text,12
.rodata.quec_exec_qwritesim_cmd.str1.1,rodata,119
.text.quec_exec_qwritesim_cmd,text,332
.rodata.atCmdHandleCCID.str1.1,rodata,16
.text.atCmdHandleCCID,text,168
.rodata.quectel_exec_qsimwritecnt_cmd.str1.1,rodata,19
.text.quectel_exec_qsimwritecnt_cmd,text,76
.rodata.quectel_exec_qsimstat_cmd.str1.1,rodata,17
.text.quectel_exec_qsimstat_cmd,text,184
.rodata.quec_exec_qpinc_cmd.str1.1,rodata,67
.text.quec_exec_qpinc_cmd,text,308
.rodata.quec_exec_qdstype_cmd.str1.1,rodata,13
.text.quec_exec_qdstype_cmd,text,72
.rodata.quec_exec_efs_mkfs_cmd.str1.1,rodata,37
.text.quec_exec_efs_mkfs_cmd,text,152
.rodata.quec_uti_handle_thread.str1.1,rodata,97
.text.quec_uti_handle_thread,text,196
.rodata.quec_msg_handle_thread.str1.1,rodata,18
.text.quec_msg_handle_thread,text,168
.text.quec_msg_handle_sendevent,text,40
.text.quec_get_uti_handle_threadId,text,12
.rodata.quec_msg_process_init.str1.1,rodata,23
.text.quec_msg_process_init,text,100
.text.quec_at_get_chsetting,text,8
.rodata.quec_at_set_all_chsetting.str1.1,rodata,17
.text.quec_at_set_all_chsetting,text,160
.text.quec_atParamHex2Num,text,44
.rodata.quec_atParamStrFromRaw.str1.1,rodata,1
.text.quec_atParamStrFromRaw,text,160
.text.quec_atParamHexDataParse,text,98
.text.quec_IsUintInList,text,28
.text.quec_IsIntInList,text,28
.text.quec_IsUint64InList,text,36
.text.quec_IsInt64InList,text,36
